,Администратор баз данных,Руководитель проектов в области информационных технологий,Программист,Специалист по администрированию сетевых устройств информационно-коммуникационных систем,Специалист по информационным системам,Системный администратор информационно-коммуникационных систем,Специалист по тестированию в области информационных технологий,Системный аналитик,Специалист по дизайну графических и пользовательских интерфейсов,Системный программист
Всего,2055,3858,15289,1188,709,461,3492,4365,796,6807
Организованность,30,211,187,25,19,6,41,117,12,110
Межкультурное взаимодействие,0,0,0,0,0,0,0,0,0,0
Работа в команде,374,1061,3507,138,136,52,810,987,193,1315
Планирование,211,1820,2140,95,56,37,565,1158,130,1018
Эмоциональный интеллект,14,14,14,0,4,0,3,15,7,13
Адаптивность,7,54,555,3,8,0,29,33,71,74
Критическое мышление,627,1602,3349,151,89,35,1521,2965,179,1789
Обучение других,220,593,1982,83,130,51,430,621,102,841
Коммуникативные навыки,404,1358,2050,165,113,99,721,1219,98,1609
Самоорганизация,225,631,1831,104,48,37,442,657,133,853
Достижение результатов,574,1522,4037,317,163,150,971,1448,278,2035
